# ----------------------------------------
# Report CSV Export
# Account: psyTeachR
# Property: psyTeachR
# ----------------------------------------
# 
# All Users
# Start date: 20220227
# End date: 20220305

Page path + query string and screen class,Views
/quant-fun-v2/regression.html,1175
/quant-fun-v2/multiple-regression.html,766
/,647
/ads-v1/viz.html,572
/ads-v1/summary.html,403
/quant-fun-v2/visualisation.html,393
/ads-v1/reports.html,379
/ads-v1/data.html,306
/analysis-v2/simple-regression.html,263
/analysis-v2/multiple-regression.html,251
/reprores-v2/plotstyle.html,249
/analysis-v2/,237
/quant-fun-v2/intro-to-data-visualisation.html,228
/analysis-v2/correlations.html,227
/analysis-v2/apes---alpha-power-effect-sizes-sample-size.html,216
/quant-fun-v2/data-wrangling-1.html,216
/data-skills-v1/probability-continued.html,199
/analysis-v2/data-wrangling-a-key-skill.html,173
/analysis-v2/one-way-anova.html,166
/analysis-v2/nhst-paired-sample-t-test-and-nonparametric-tests.html,158
/quant-fun-v2/data-wrangling-2.html,157
/ads-v1/intro.html,153
/quant-fun-v2/probability.html,147
/quant-fun-v2/factorial-anova.html,142
/analysis-v2/nhst-two-sample-t-test.html,140
/analysis-v2/factorial-anova.html,136
/quant-fun-v2/data-wrangling-3.html,134
/stat-models-v1/,130
/data-skills-v1/intro-to-data-viz.html,127
/data-skills-v1/intro-to-probability.html,125
/data-skills-v1/,122
/data-skills-v1/data-wrangling-1.html,122
/quant-fun-v2/index.html,117
/data-skills-v1/reshaping-data.html,114
/data-skills-v1/programming-basics.html,108
/analysis-v2/data-visualisation-through-ggplot2.html,105
/analysis-v2/nhst-binomial-test-and-one-sample-t-test.html,105
/quant-fun-v2/t-tests.html,105
/quant-fun-v2/one-way-anova.html,104
/quant-fun-v2/power-and-effect-sizes.html,102
/msc-data-skills/ggplot.html,98
/stat-models-v1/introducing-linear-mixed-effects-models.html,96
/quant-fun-v2/programming-basics.html,92
/data-skills-v1/ref1.html,88
/quant-fun-v2/,88
/basel-longitudinal/,87
/data-skills-v1/aq-data-and-recap.html,84
/quant-fun-v2/correlations.html,84
/data-skills-v1/mega-pipe.html,83
/analysis-v2/starting-with-r-markdown.html,82
/basel-longitudinal/index.html,79
/ads-v1/joins.html,78
/data-skills-v1/getting-to-know-the-data.html,75
/quant-fun-v2/screening-data.html,73
/quant-fun-v2/starting-with-data.html,73
/basel-longitudinal/linear-mixed-effects-models.html,72
/data-skills-v1/data-wrangling-2.html,72
/ads-v1/index.html,71
/basel-longitudinal/interactions.html,71
/msc-data-skills/glm.html,71
/data-skills-v1/scatterplots.html,67
/data-skills-v1/loading-data.html,65
/stat-models-v1/interactions.html,61
/DTHCB/,60
/basel-longitudinal/regression-basics.html,60
/introdataviz/advanced-plots.html,60
/quant-fun-v2/visualisation.html?q=facet_wrap,60
/basel-longitudinal/variance-covariance-matrices.html,58
/data-skills-v1/pipes.html,57
/quant-fun-v2/intro-to-r.html,57
/basel-longitudinal/multiple-regression.html,55
/introdataviz/representing-summary-statistics.html,54
/quant-fun-v2/visualisation.html?q=density,53
/DTHCB/dthcb_thietke.html,50
/reprores-v2/,50
/ads-v1/plotstyle.html,49
/basel-longitudinal/modeling-trends.html,49
/data-skills-v1/project-analysis.html,48
/stat-models-v1/correlation-and-regression.html,47
/analysis-v2/revisiting-probability-distributions.html,43
/data-skills-v1/simulation.html,43
/msc-data-skills/sim.html,43
/stat-models-v1/index.html,43
/DTHCB/dthcb_gioithieu.html,42
/introdataviz/,41
/introdataviz/index.html,41
/introdataviz/transforming-data.html,41
/quant-fun-v2/data-wrangling-2.html?q=ungroup,41
/quant-fun-v2/visualisation.html?q=facet,40
/reprores-v2/glm.html,40
/ug2-practical/within-subjects-t-test.html,40
/DTHCB/dthcb_nccatngang.html,38
/analysis-v2/correlations.html?q=rcorr,38
/basel-longitudinal/random-effects-structure.html,38
/stat-models-v1/multiple-regression.html,38
/ug2-practical/visualisation-through-ggplot2.html,38
/analysis-v2/index.html,37
/data-skills-v1/index.html,37
